state,year,month,rainfall
NAGALAND,2018,12,10.646929
NAGALAND,2019,1,13.017029
NAGALAND,2019,2,22.629192
NAGALAND,2019,3,47.314274
NAGALAND,2019,4,82.03359
NAGALAND,2019,5,286.51025
NAGALAND,2019,6,276.4377
NAGALAND,2019,7,415.45496
NAGALAND,2019,8,263.40265
NAGALAND,2019,9,384.51776
NAGALAND,2019,10,135.29527
NAGALAND,2019,11,16.600327
NAGALAND,2019,12,8.204785
NAGALAND,2020,1,39.145683
NAGALAND,2020,2,22.814697
NAGALAND,2020,3,41.46788
NAGALAND,2020,4,150.10669
NAGALAND,2020,5,227.17201
NAGALAND,2020,6,344.5211
NAGALAND,2020,7,260.63364
NAGALAND,2020,8,233.42213
NAGALAND,2020,9,250.62384
NAGALAND,2020,10,223.81345
NAGALAND,2020,11,26.116735
NAGALAND,2020,12,7.2371874
SIKKIM,2016,1,10.7116375
SIKKIM,2016,2,7.840232
SIKKIM,2016,3,49.48736
SIKKIM,2016,4,37.240643
SIKKIM,2016,5,183.21841
SIKKIM,2016,6,227.93695
SIKKIM,2016,7,436.52646
SIKKIM,2016,8,234.48306
SIKKIM,2016,9,270.6463
SIKKIM,2016,10,40.17202
SIKKIM,2016,11,4.876823
SIKKIM,2016,12,3.592733
SIKKIM,2017,1,18.439995
SIKKIM,2017,2,9.094062
SIKKIM,2017,3,73.94377
SIKKIM,2017,4,54.732487
SIKKIM,2017,5,152.17389
SIKKIM,2017,6,173.24255
SIKKIM,2017,7,392.2479
SIKKIM,2017,8,294.35748
SIKKIM,2017,9,127.003296
SIKKIM,2017,10,51.62113
SIKKIM,2017,11,5.0727353
SIKKIM,2017,12,3.35901
SIKKIM,2018,1,7.886577
SIKKIM,2018,2,11.521499
SIKKIM,2018,3,47.44328
SIKKIM,2018,4,43.936485
SIKKIM,2018,5,133.992
SIKKIM,2018,6,176.72017
SIKKIM,2018,7,320.20728
SIKKIM,2018,8,241.60774
SIKKIM,2018,9,181.81232
SIKKIM,2018,10,34.49881
SIKKIM,2018,11,4.9475527
SIKKIM,2018,12,10.854651
SIKKIM,2019,1,8.91624
SIKKIM,2019,2,33.98802
SIKKIM,2019,3,43.96376
SIKKIM,2019,4,81.67129
SIKKIM,2019,5,54.934708
SIKKIM,2019,6,139.38168
SIKKIM,2019,7,363.58566
SIKKIM,2019,8,210.10422
SIKKIM,2019,9,140.32512
SIKKIM,2019,10,21.48061
SIKKIM,2019,11,5.443512
SIKKIM,2019,12,4.2911096
SIKKIM,2020,1,15.129701
SIKKIM,2020,2,12.473579
SIKKIM,2020,3,34.279663
SIKKIM,2020,4,138.6198
SIKKIM,2020,5,117.49196
SIKKIM,2020,6,178.2157
SIKKIM,2020,7,294.00296
SIKKIM,2020,8,264.47632
SIKKIM,2020,9,255.01434
SIKKIM,2020,10,28.454105
SIKKIM,2020,11,5.71064
SIKKIM,2020,12,3.3707948
TRIPURA,2016,1,6.5271835
TRIPURA,2016,2,22.7914
TRIPURA,2016,3,103.62778
TRIPURA,2016,4,134.20831
TRIPURA,2016,5,452.33478
TRIPURA,2016,6,273.78934
TRIPURA,2016,7,372.0033
TRIPURA,2016,8,420.02728
TRIPURA,2016,9,238.77368
TRIPURA,2016,10,117.357445
TRIPURA,2016,11,144.8884
TRIPURA,2016,12,2.7464538
TRIPURA,2017,1,6.0605965
TRIPURA,2017,2,6.0471597
TRIPURA,2017,3,183.99855
TRIPURA,2017,4,308.01227
TRIPURA,2017,5,296.24628
TRIPURA,2017,6,726.79663
TRIPURA,2017,7,509.61536
TRIPURA,2017,8,498.03775
TRIPURA,2017,9,340.6963
TRIPURA,2017,10,439.81647
TRIPURA,2017,11,18.568419
TRIPURA,2017,12,20.268185
TRIPURA,2018,1,8.123432
TRIPURA,2018,2,14.047014
TRIPURA,2018,3,44.309597
TRIPURA,2018,4,281.28336
TRIPURA,2018,5,423.75854
TRIPURA,2018,6,459.468
TRIPURA,2018,7,347.20483
TRIPURA,2018,8,278.01263
TRIPURA,2018,9,145.86896
TRIPURA,2018,10,123.9651
TRIPURA,2018,11,18.586693
TRIPURA,2018,12,7.408855
TRIPURA,2019,1,6.0727644
TRIPURA,2019,2,43.320137
TRIPURA,2019,3,65.84583
TRIPURA,2019,4,255.15335
TRIPURA,2019,5,312.17117
TRIPURA,2019,6,318.42294
TRIPURA,2019,7,697.5351
TRIPURA,2019,8,320.84824
TRIPURA,2019,9,195.18022
TRIPURA,2019,10,124.29383
TRIPURA,2019,11,72.57935
TRIPURA,2019,12,4.204217
TRIPURA,2020,1,46.4631
TRIPURA,2020,2,6.461389
TRIPURA,2020,3,43.106987
TRIPURA,2020,4,211.7065
TRIPURA,2020,5,269.48
TRIPURA,2020,6,514.0635
TRIPURA,2020,7,398.08966
TRIPURA,2020,8,254.37714
TRIPURA,2020,9,243.67345
TRIPURA,2020,10,326.4925
TRIPURA,2020,11,26.890816
TRIPURA,2020,12,2.758733
