STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
WEST BENGAL,JALPAIGURI,9.2,17.8,39.7,119.3,339.3,667.3,931.4,670.9,488.3,159.9,18,7.2,3468.3,27,498.3,2757.9,185.1
WEST BENGAL,MALDA,13.6,10.5,14.5,34.8,106.2,216.6,332.9,284.8,283,102.5,13.2,6.8,1419.4,24.1,155.5,1117.3,122.5
WEST BENGAL,SOUTH DINAJPUR,8.9,13.3,19,58.9,167.8,289.3,368.9,248,279.7,112.5,13,5.6,1584.9,22.2,245.7,1185.9,131.1
WEST BENGAL,NORTH DINAJPUR,21.5,2,8,35.7,162.9,316,367,307.7,403.8,90.7,9.1,3.2,1727.6,23.5,206.6,1394.5,103
SIKKIM,NORTH SIKKIM,61.6,98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9
SIKKIM,EAST SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5
SIKKIM,WEST SIKKIM,61.6,98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9
SIKKIM,SOUTH SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5
WEST BENGAL,BANKURA,12,18,22,36.3,66.9,215,303.2,290.7,242.3,105.2,9.8,9.5,1330.9,30,125.2,1051.2,124.5
WEST BENGAL,BIRBHUM,13.4,16.1,21.2,30.9,78.7,222.3,313.9,298.8,271,105.1,15.8,5.6,1392.8,29.5,130.8,1106,126.5
WEST BENGAL,BURDWAN,10.7,22.2,19.8,37.8,78.8,198.2,294.1,285.3,251.1,99.8,11.4,6,1315.2,32.9,136.4,1028.7,117.2
WEST BENGAL,HOOGHLY,11.9,26.6,28.2,50.6,108.5,243.4,316.1,265.1,243.3,102.1,16,6.9,1418.7,38.5,187.3,1067.9,125
WEST BENGAL,HOWRAH,12.2,24.9,32,52.6,126.4,233.2,343.2,329.4,305.6,99.1,31.3,10.1,1600,37.1,211,1211.4,140.5
WEST BENGAL,PURULIA,14.3,20.7,24.6,36.1,57.3,222.1,298.7,307,266.7,91.5,16.7,7.6,1363.3,35,118,1094.5,115.8
WEST BENGAL,MURSHIDABAD,16.8,11.2,19,34,87,237.6,328.6,256.9,256.2,126.3,11,6.5,1391.1,28,140,1079.3,143.8
WEST BENGAL,NADIA,12.2,17.6,21.1,42.1,95.2,234.1,270.8,236,214.1,100.2,10.4,7.8,1261.6,29.8,158.4,955,118.4
WEST BENGAL,NORTH 24 PARG,15.6,17.8,30.3,51.5,113.4,271.9,317.2,304.3,279.4,130.9,21.8,5.7,1559.8,33.4,195.2,1172.8,158.4
WEST BENGAL,SOUTH 24 PARG,13.6,26.7,37.9,41.7,125.1,316,463.6,416.2,356.8,218.4,62.3,9.7,2088,40.3,204.7,1552.6,290.4
WEST BENGAL,EAST MIDNAPOR,15.9,18.6,31.8,34.7,108.1,253.5,284.9,338.7,343.2,196.9,34,9.3,1669.6,34.5,174.6,1220.3,240.2
WEST BENGAL,WEST MIDNAPOR,12.2,24.1,39,56.8,107.6,243.8,329.5,316,276.8,106.5,17.9,5.3,1535.5,36.3,203.4,1166.1,129.7
WEST BENGAL,KOLKATA,14.4,24.7,33.5,53.1,113.4,278.3,361,335.2,306.6,155.3,24.8,8.9,1709.2,39.1,200,1281.1,189
HIMACHAL,BILASPUR,62.5,66.8,54,26.1,41.1,107.4,311.8,304.2,153.6,27,14,28.7,1197.2,129.3,121.2,877,69.7
HIMACHAL,CHAMBA,126.2,112.8,120.3,51.2,53.4,132.4,567.3,479.2,227.5,48.7,21.9,56.2,1997.1,239,224.9,1406.4,126.8
HIMACHAL,KANGRA,83,80.2,84.9,39.9,45.1,145.6,583.2,619.4,233.9,48.1,15.8,40.7,2019.8,163.2,169.9,1582.1,104.6
HIMACHAL,KINNAUR,102.1,107.8,113.9,77.4,69.4,37.1,75,81.3,70.8,35.4,17.5,48.7,836.4,209.9,260.7,264.2,101.6
HIMACHAL,KULLU,86.9,97,135.2,79.5,72.1,82.4,184.8,165.9,86.6,32,23.4,42.3,1088.1,183.9,286.8,519.7,97.7
HIMACHAL,LAHUL & SPITI,132.8,137.1,176.6,108.9,91.7,52.4,164.5,139.9,101.4,52.2,29.6,61.7,1248.8,269.9,377.2,458.2,143.5
HIMACHAL,MANDI,71.1,67.5,81.7,48.3,64.3,160.1,411.2,370.1,152,34.4,15.3,30.9,1506.9,138.6,194.3,1093.4,80.6
HIMACHAL,HAMIRPUR,73,61.4,59.1,27.1,42.7,143.3,384.8,391.2,159.6,41.1,13.9,31,1428.2,134.4,128.9,1078.9,86
HIMACHAL,SHIMLA,69.1,70.3,80,48.3,65,104.7,226.9,189,113.3,32.6,13.9,28.3,1041.4,139.4,193.3,633.9,74.8
HIMACHAL,SIRMAUR,58.4,53.3,42.4,20.4,31.9,140.9,508,485.6,190.1,44,9.2,34.1,1618.3,111.7,94.7,1324.6,87.3
HIMACHAL,SOLAN,71.7,66.1,62.6,27.9,48.8,130.3,368.4,331.8,169.6,44.1,12.9,32,1366.2,137.8,139.3,1000.1,89
HIMACHAL,UNA,46.3,45.1,40.9,17.2,26.8,67.6,340,310.3,144.8,32.1,15.5,24.1,1110.7,91.4,84.9,862.7,71.7
